Vertical,L1 ID,L1 Nombre,L2 ID,L2 Nombre,L3 ID,L3 Nombre,Ejemplo
Automotive,MLA1512,Agro,MLA446791,Agricultura de Precisión,MLA446796,Dosificadores Variables,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA446791,Agricultura de Precisión,MLA446798,Sensores de Siembra,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA446791,Agricultura de Precisión,MLA456814,Equipos GPS,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA414087,Bebederos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA429647,Carros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA430207,Planos y Proyectos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA446799,Alambrados y Accesorios,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA454449,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA455566,Tanques,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA457146,Trailers,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA457186,Fundas para Tanques,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA454448,Infraestructura Rural,MLA457206,Surtidores,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456795,Protección de Cultivos,MLA456799,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456795,Protección de Cultivos,MLA456803,Fungicidas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456795,Protección de Cultivos,MLA456841,Herbicidas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456817,Lubricantes y Fluidos,MLA456825,Aceites de Motor,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456817,Lubricantes y Fluidos,MLA456846,Aditivos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456817,Lubricantes y Fluidos,MLA456847,Grasas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456820,Almacenaje,MLA404090,Silos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456820,Almacenaje,MLA417109,Silo Bolsas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456820,Almacenaje,MLA456822,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456820,Almacenaje,MLA456823,Aireadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA430205,Colmenas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456827,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456835,Extracción de Miel,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456848,Herramientas de Trabajo,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456854,Rejillas Excluidoras de Reinas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456855,Piqueras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456858,Trampas Cazapolen,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456826,Apicultura,MLA456921,Traje de Apicultor,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456833,Energia Renovable,MLA442426,Molinos de Viento,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
